OrderID,UserID,RoomID,CheckIn,CheckOut,Status,Amount
3023,46,33,2024-06-01,2024-06-02,Completed,969
8698,70,36,2024-06-01,2024-06-02,Completed,590
8326,66,19,2024-06-01,2024-06-02,Completed,298
1446,26,5,2024-06-01,2024-06-02,Completed,923
9590,84,49,2024-06-01,2024-06-02,Completed,936
4869,18,38,2024-06-01,2024-06-02,Pending,737
3117,97,39,2024-06-01,2024-06-02,Cancelled,445
6001,27,13,2024-06-01,2024-06-02,Pending,740
8870,65,5,2024-06-01,2024-06-02,Cancelled,248
5744,74,42,2024-06-02,2024-06-03,Pending,955
9904,45,18,2024-06-02,2024-06-03,Completed,817
8347,3,34,2024-06-02,2024-06-03,Cancelled,456
8717,91,16,2024-06-02,2024-06-03,Pending,173
2967,21,27,2024-06-02,2024-06-03,Pending,103
5189,89,1,2024-06-02,2024-06-03,Pending,517
8216,88,30,2024-06-02,2024-06-03,Cancelled,235
3704,90,47,2024-06-02,2024-06-03,Completed,927
2417,68,32,2024-06-02,2024-06-03,Completed,700
6497,26,31,2024-06-03,2024-06-04,Completed,677
7848,66,36,2024-06-03,2024-06-04,Completed,850
2014,5,14,2024-06-03,2024-06-04,Completed,570
2845,94,17,2024-06-03,2024-06-04,Cancelled,173
3606,9,45,2024-06-03,2024-06-04,Completed,761
9719,73,22,2024-06-03,2024-06-04,Completed,266
2168,87,32,2024-06-03,2024-06-04,Completed,290
1427,76,6,2024-06-03,2024-06-04,Cancelled,547
4044,16,41,2024-06-03,2024-06-04,Completed,592
8096,4,45,2024-06-04,2024-06-05,Cancelled,282
5325,5,43,2024-06-04,2024-06-05,Cancelled,951
7568,44,33,2024-06-04,2024-06-05,Cancelled,757
3055,57,49,2024-06-04,2024-06-05,Completed,715
5272,85,19,2024-06-04,2024-06-05,Completed,966
4928,28,16,2024-06-04,2024-06-05,Pending,969
9749,76,19,2024-06-04,2024-06-05,Completed,837
4362,36,29,2024-06-04,2024-06-05,Pending,701
2619,75,4,2024-06-04,2024-06-05,Pending,929
7185,44,50,2024-06-05,2024-06-06,Pending,244
8106,75,7,2024-06-05,2024-06-06,Pending,622
4270,7,1,2024-06-05,2024-06-06,Pending,729
8630,14,6,2024-06-05,2024-06-06,Completed,344
7240,77,40,2024-06-05,2024-06-06,Pending,659
6190,5,17,2024-06-05,2024-06-06,Cancelled,932
3711,66,28,2024-06-05,2024-06-06,Pending,283
3236,58,42,2024-06-05,2024-06-06,Pending,965
7577,36,9,2024-06-05,2024-06-06,Pending,839
5976,81,36,2024-06-06,2024-06-07,Cancelled,879
1989,38,35,2024-06-06,2024-06-07,Pending,103
7910,51,43,2024-06-06,2024-06-07,Completed,160
7614,31,37,2024-06-06,2024-06-07,Pending,874
7171,92,33,2024-06-06,2024-06-07,Pending,795
8718,23,45,2024-06-06,2024-06-07,Cancelled,670
3814,93,10,2024-06-06,2024-06-07,Completed,719
5666,99,8,2024-06-06,2024-06-07,Pending,281
1445,63,30,2024-06-06,2024-06-07,Cancelled,981
8728,42,17,2024-06-07,2024-06-08,Cancelled,331
5071,19,8,2024-06-07,2024-06-08,Completed,326
1192,25,27,2024-06-07,2024-06-08,Pending,675
3968,65,42,2024-06-07,2024-06-08,Completed,878
4023,55,7,2024-06-07,2024-06-08,Cancelled,222
2037,52,17,2024-06-07,2024-06-08,Cancelled,399
1827,22,14,2024-06-07,2024-06-08,Completed,258
6599,45,23,2024-06-07,2024-06-08,Completed,467
5314,79,50,2024-06-07,2024-06-08,Cancelled,991
7400,72,24,2024-06-08,2024-06-09,Cancelled,503
6131,22,22,2024-06-08,2024-06-09,Pending,117
5660,10,24,2024-06-08,2024-06-09,Pending,867
4665,100,16,2024-06-08,2024-06-09,Cancelled,106
4360,32,30,2024-06-08,2024-06-09,Cancelled,536
1164,66,13,2024-06-08,2024-06-09,Completed,620
1160,61,8,2024-06-08,2024-06-09,Cancelled,802
9836,84,45,2024-06-08,2024-06-09,Completed,792
2813,76,16,2024-06-08,2024-06-09,Pending,176
1900,98,38,2024-06-09,2024-06-10,Pending,948
9078,24,3,2024-06-09,2024-06-10,Pending,503
1393,23,36,2024-06-09,2024-06-10,Cancelled,626
4472,46,26,2024-06-09,2024-06-10,Completed,331
8282,36,7,2024-06-09,2024-06-10,Pending,995
8774,15,33,2024-06-09,2024-06-10,Pending,934
4052,59,16,2024-06-09,2024-06-10,Pending,759
7350,91,9,2024-06-09,2024-06-10,Pending,729
3797,33,2,2024-06-09,2024-06-10,Completed,485
2275,39,45,2024-06-10,2024-06-11,Pending,351
9068,98,48,2024-06-10,2024-06-11,Cancelled,410
5192,85,28,2024-06-10,2024-06-11,Pending,423
7095,81,30,2024-06-10,2024-06-11,Cancelled,361
5507,16,49,2024-06-10,2024-06-11,Pending,577
1248,4,26,2024-06-10,2024-06-11,Cancelled,617
6940,65,40,2024-06-10,2024-06-11,Cancelled,563
1968,45,31,2024-06-10,2024-06-11,Pending,348
3956,52,50,2024-06-10,2024-06-11,Cancelled,519
9155,57,8,2024-06-11,2024-06-12,Completed,545
9519,57,34,2024-06-11,2024-06-12,Pending,924
1666,57,44,2024-06-11,2024-06-12,Cancelled,279
9040,51,26,2024-06-11,2024-06-12,Cancelled,170
9797,99,33,2024-06-11,2024-06-12,Cancelled,756
7034,93,33,2024-06-11,2024-06-12,Pending,110
5914,23,28,2024-06-11,2024-06-12,Cancelled,978
7377,90,40,2024-06-11,2024-06-12,Completed,269
3688,60,49,2024-06-11,2024-06-12,Completed,166
3459,76,10,2024-06-12,2024-06-13,Completed,962
1393,30,26,2024-06-12,2024-06-13,Completed,811
3354,82,34,2024-06-12,2024-06-13,Cancelled,592
6300,8,8,2024-06-12,2024-06-13,Completed,929
2062,23,34,2024-06-12,2024-06-13,Pending,701
2087,34,43,2024-06-12,2024-06-13,Completed,944
3302,2,9,2024-06-12,2024-06-13,Pending,239
4080,56,45,2024-06-12,2024-06-13,Pending,687
4087,90,31,2024-06-12,2024-06-13,Cancelled,703
1693,76,17,2024-06-13,2024-06-14,Completed,679
9141,72,16,2024-06-13,2024-06-14,Cancelled,590
8694,4,3,2024-06-13,2024-06-14,Cancelled,932
2304,70,31,2024-06-13,2024-06-14,Completed,681
9156,17,37,2024-06-13,2024-06-14,Cancelled,994
5612,83,26,2024-06-13,2024-06-14,Cancelled,426
3917,91,5,2024-06-13,2024-06-14,Pending,840
8489,91,9,2024-06-13,2024-06-14,Completed,183
6333,100,23,2024-06-13,2024-06-14,Pending,694
4473,10,28,2024-06-14,2024-06-15,Cancelled,626
1013,60,13,2024-06-14,2024-06-15,Completed,968
3945,98,32,2024-06-14,2024-06-15,Completed,237
9960,46,11,2024-06-14,2024-06-15,Pending,426
5907,20,32,2024-06-14,2024-06-15,Cancelled,841
1822,46,23,2024-06-14,2024-06-15,Cancelled,894
7893,52,3,2024-06-14,2024-06-15,Completed,136
9332,55,13,2024-06-14,2024-06-15,Completed,985
7020,82,21,2024-06-14,2024-06-15,Pending,757
4547,97,41,2024-06-15,2024-06-16,Pending,843
2826,73,41,2024-06-15,2024-06-16,Completed,582
9180,37,36,2024-06-15,2024-06-16,Pending,794
6942,96,39,2024-06-15,2024-06-16,Cancelled,732
3063,67,22,2024-06-15,2024-06-16,Cancelled,114
2542,23,29,2024-06-15,2024-06-16,Completed,567
2074,84,7,2024-06-15,2024-06-16,Cancelled,423
3513,77,22,2024-06-15,2024-06-16,Cancelled,326
6042,12,45,2024-06-15,2024-06-16,Cancelled,582
3720,4,15,2024-06-16,2024-06-17,Pending,313
